User,Gesture Type,RandomIteration,#ofTrainingExamples,TotalSizeOfTrainingSet,Training Set Contents,Candidate,RecoResult,Correct or Incorrect,RecoResultScore,RecoResultBestMatch,RecoResultNBestSorted
Amey,6,1,1,17,"['7|Amey|E8', '2|Amey|E10', '1|Amey|E7', '9|Amey|E3', '0|Amey|E9', '3|Amey|E10', '-|Amey|E5', '(|Amey|E9', '5|Amey|E2', '/|Amey|E10', 'X|Amey|E6', '+|Amey|E4', ')|Amey|E6', '^|Amey|E8', '6|Amey|E9', '8|Amey|E2', '4|Amey|E9']",6|Amey|E7,6,1,0.96,6|Amey|E9,"{'6|Amey|E9': 0.96, '4|Amey|E9': 0.717, '0|Amey|E9': 0.671, 'X|Amey|E6': 0.662, '+|Amey|E4': 0.654, '(|Amey|E9': 0.471, '-|Amey|E5': 0.341, '2|Amey|E10': 0.268}"
Amey,7,1,1,17,"['7|Amey|E8', '2|Amey|E10', '1|Amey|E7', '9|Amey|E3', '0|Amey|E9', '3|Amey|E10', '-|Amey|E5', '(|Amey|E9', '5|Amey|E2', '/|Amey|E10', 'X|Amey|E6', '+|Amey|E4', ')|Amey|E6', '^|Amey|E8', '6|Amey|E9', '8|Amey|E2', '4|Amey|E9']",7|Amey|E7,2,0,0.751,2|Amey|E10,"{'2|Amey|E10': 0.751, '+|Amey|E4': 0.674, '0|Amey|E9': 0.583, '7|Amey|E8': 0.549, '8|Amey|E2': 0.529, '-|Amey|E5': 0.528, ')|Amey|E6': 0.49, '3|Amey|E10': 0.477, '5|Amey|E2': 0.227}"
Amey,8,1,1,17,"['7|Amey|E8', '2|Amey|E10', '1|Amey|E7', '9|Amey|E3', '0|Amey|E9', '3|Amey|E10', '-|Amey|E5', '(|Amey|E9', '5|Amey|E2', '/|Amey|E10', 'X|Amey|E6', '+|Amey|E4', ')|Amey|E6', '^|Amey|E8', '6|Amey|E9', '8|Amey|E2', '4|Amey|E9']",8|Amey|E4,8,1,0.923,8|Amey|E2,"{'8|Amey|E2': 0.923, '2|Amey|E10': 0.495, '0|Amey|E9': 0.446, '3|Amey|E10': 0.442, '+|Amey|E4': 0.405, '-|Amey|E5': 0.367, '7|Amey|E8': 0.335, '1|Amey|E7': 0.293, ')|Amey|E6': 0.204, '5|Amey|E2': 0.128}"
Amey,9,1,1,17,"['7|Amey|E8', '2|Amey|E10', '1|Amey|E7', '9|Amey|E3', '0|Amey|E9', '3|Amey|E10', '-|Amey|E5', '(|Amey|E9', '5|Amey|E2', '/|Amey|E10', 'X|Amey|E6', '+|Amey|E4', ')|Amey|E6', '^|Amey|E8', '6|Amey|E9', '8|Amey|E2', '4|Amey|E9']",9|Amey|E2,9,1,0.815,9|Amey|E3,"{'9|Amey|E3': 0.815, '5|Amey|E2': 0.725, '+|Amey|E4': 0.62, '4|Amey|E9': 0.572, 'X|Amey|E6': 0.556, '-|Amey|E5': 0.438, '(|Amey|E9': 0.377, '2|Amey|E10': 0.232}"
Amey,X,1,1,17,"['7|Amey|E8', '2|Amey|E10', '1|Amey|E7', '9|Amey|E3', '0|Amey|E9', '3|Amey|E10', '-|Amey|E5', '(|Amey|E9', '5|Amey|E2', '/|Amey|E10', 'X|Amey|E6', '+|Amey|E4', ')|Amey|E6', '^|Amey|E8', '6|Amey|E9', '8|Amey|E2', '4|Amey|E9']",X|Amey|E7,X,1,0.944,X|Amey|E6,"{'X|Amey|E6': 0.944, '8|Amey|E2': 0.429}"
Amey,^,1,1,17,"['7|Amey|E8', '2|Amey|E10', '1|Amey|E7', '9|Amey|E3', '0|Amey|E9', '3|Amey|E10', '-|Amey|E5', '(|Amey|E9', '5|Amey|E2', '/|Amey|E10', 'X|Amey|E6', '+|Amey|E4', ')|Amey|E6', '^|Amey|E8', '6|Amey|E9', '8|Amey|E2', '4|Amey|E9']",^|Amey|E10,^,1,0.926,^|Amey|E8,"{'^|Amey|E8': 0.926, '/|Amey|E10': 0.665, '+|Amey|E4': 0.482, 'X|Amey|E6': 0.461, '4|Amey|E9': 0.401, '1|Amey|E7': 0.399, '7|Amey|E8': 0.387, '9|Amey|E3': 0.268, '6|Amey|E9': 0.077}"
Amey,/,1,1,17,"['7|Amey|E8', '2|Amey|E10', '1|Amey|E7', '9|Amey|E3', '0|Amey|E9', '3|Amey|E10', '-|Amey|E5', '(|Amey|E9', '5|Amey|E2', '/|Amey|E10', 'X|Amey|E6', '+|Amey|E4', ')|Amey|E6', '^|Amey|E8', '6|Amey|E9', '8|Amey|E2', '4|Amey|E9']",/|Amey|E4,/,1,0.979,/|Amey|E10,"{'/|Amey|E10': 0.979, '4|Amey|E9': 0.611, 'X|Amey|E6': 0.494, '+|Amey|E4': 0.47}"
Amey,(,2,1,17,"['0|Amey|E2', '/|Amey|E6', ')|Amey|E4', '(|Amey|E5', '7|Amey|E10', '5|Amey|E9', '8|Amey|E9', '2|Amey|E4', '4|Amey|E9', '+|Amey|E7', '6|Amey|E4', '^|Amey|E1', 'X|Amey|E4', '9|Amey|E1', '3|Amey|E9', '-|Amey|E2', '1|Amey|E2']",(|Amey|E10,(,1,0.974,(|Amey|E5,"{'(|Amey|E5': 0.974, '5|Amey|E9': 0.663, '-|Amey|E2': 0.565, '4|Amey|E9': 0.525, '+|Amey|E7': 0.469, '7|Amey|E10': 0.428, 'X|Amey|E4': 0.417, '6|Amey|E4': 0.364, '2|Amey|E4': 0.148}"
Amey,),2,1,17,"['0|Amey|E2', '/|Amey|E6', ')|Amey|E4', '(|Amey|E5', '7|Amey|E10', '5|Amey|E9', '8|Amey|E9', '2|Amey|E4', '4|Amey|E9', '+|Amey|E7', '6|Amey|E4', '^|Amey|E1', 'X|Amey|E4', '9|Amey|E1', '3|Amey|E9', '-|Amey|E2', '1|Amey|E2']",)|Amey|E8,1,0,0.909,1|Amey|E2,"{'1|Amey|E2': 0.909, '3|Amey|E9': 0.831, '7|Amey|E10': 0.566, '0|Amey|E2': 0.543, '-|Amey|E2': 0.483, '+|Amey|E7': 0.463, '8|Amey|E9': 0.257, ')|Amey|E4': 0.207, '5|Amey|E9': 0.137}"
Amey,+,2,1,17,"['0|Amey|E2', '/|Amey|E6', ')|Amey|E4', '(|Amey|E5', '7|Amey|E10', '5|Amey|E9', '8|Amey|E9', '2|Amey|E4', '4|Amey|E9', '+|Amey|E7', '6|Amey|E4', '^|Amey|E1', 'X|Amey|E4', '9|Amey|E1', '3|Amey|E9', '-|Amey|E2', '1|Amey|E2']",+|Amey|E5,+,1,0.98,+|Amey|E7,"{'+|Amey|E7': 0.98, '8|Amey|E9': 0.764, '4|Amey|E9': 0.564, '/|Amey|E6': 0.459, '0|Amey|E2': 0.375}"
Amey,-,2,1,17,"['0|Amey|E2', '/|Amey|E6', ')|Amey|E4', '(|Amey|E5', '7|Amey|E10', '5|Amey|E9', '8|Amey|E9', '2|Amey|E4', '4|Amey|E9', '+|Amey|E7', '6|Amey|E4', '^|Amey|E1', 'X|Amey|E4', '9|Amey|E1', '3|Amey|E9', '-|Amey|E2', '1|Amey|E2']",-|Amey|E3,-,1,0.984,-|Amey|E2,"{'-|Amey|E2': 0.984, '1|Amey|E2': 0.738, '3|Amey|E9': 0.629, '2|Amey|E4': 0.585, '5|Amey|E9': 0.578, ')|Amey|E4': 0.556, '7|Amey|E10': 0.511, '+|Amey|E7': 0.439, '0|Amey|E2': 0.239}"
Amey,0,2,1,17,"['0|Amey|E2', '/|Amey|E6', ')|Amey|E4', '(|Amey|E5', '7|Amey|E10', '5|Amey|E9', '8|Amey|E9', '2|Amey|E4', '4|Amey|E9', '+|Amey|E7', '6|Amey|E4', '^|Amey|E1', 'X|Amey|E4', '9|Amey|E1', '3|Amey|E9', '-|Amey|E2', '1|Amey|E2']",0|Amey|E8,X,0,0.618,X|Amey|E4,"{'X|Amey|E4': 0.618, '6|Amey|E4': 0.59, '4|Amey|E9': 0.541, '(|Amey|E5': 0.38, '/|Amey|E6': 0.289}"
Amey,1,2,1,17,"['0|Amey|E2', '/|Amey|E6', ')|Amey|E4', '(|Amey|E5', '7|Amey|E10', '5|Amey|E9', '8|Amey|E9', '2|Amey|E4', '4|Amey|E9', '+|Amey|E7', '6|Amey|E4', '^|Amey|E1', 'X|Amey|E4', '9|Amey|E1', '3|Amey|E9', '-|Amey|E2', '1|Amey|E2']",1|Amey|E10,1,1,0.932,1|Amey|E2,"{'1|Amey|E2': 0.932, '3|Amey|E9': 0.768, '^|Amey|E1': 0.697, '-|Amey|E2': 0.678, '2|Amey|E4': 0.631, '7|Amey|E10': 0.558, '0|Amey|E2': 0.495, '+|Amey|E7': 0.432, 'X|Amey|E4': 0.424, '6|Amey|E4': 0.233, ')|Amey|E4': 0.084}"
Amey,2,2,1,17,"['0|Amey|E2', '/|Amey|E6', ')|Amey|E4', '(|Amey|E5', '7|Amey|E10', '5|Amey|E9', '8|Amey|E9', '2|Amey|E4', '4|Amey|E9', '+|Amey|E7', '6|Amey|E4', '^|Amey|E1', 'X|Amey|E4', '9|Amey|E1', '3|Amey|E9', '-|Amey|E2', '1|Amey|E2']",2|Amey|E9,2,1,0.913,2|Amey|E4,"{'2|Amey|E4': 0.913, '7|Amey|E10': 0.747, '1|Amey|E2': 0.584, '3|Amey|E9': 0.558, '-|Amey|E2': 0.536, '+|Amey|E7': 0.508, '0|Amey|E2': 0.451, 'X|Amey|E4': 0.404, '6|Amey|E4': 0.349, '^|Amey|E1': 0.329, ')|Amey|E4': 0.037}"
Amey,3,2,1,17,"['0|Amey|E2', '/|Amey|E6', ')|Amey|E4', '(|Amey|E5', '7|Amey|E10', '5|Amey|E9', '8|Amey|E9', '2|Amey|E4', '4|Amey|E9', '+|Amey|E7', '6|Amey|E4', '^|Amey|E1', 'X|Amey|E4', '9|Amey|E1', '3|Amey|E9', '-|Amey|E2', '1|Amey|E2']",3|Amey|E8,3,1,0.94,3|Amey|E9,"{'3|Amey|E9': 0.94, '1|Amey|E2': 0.758, '7|Amey|E10': 0.553, '2|Amey|E4': 0.549, '^|Amey|E1': 0.543, '-|Amey|E2': 0.538, '0|Amey|E2': 0.502, '+|Amey|E7': 0.411, ')|Amey|E4': 0.124, '5|Amey|E9': 0.05}"
Amey,4,2,1,17,"['0|Amey|E2', '/|Amey|E6', ')|Amey|E4', '(|Amey|E5', '7|Amey|E10', '5|Amey|E9', '8|Amey|E9', '2|Amey|E4', '4|Amey|E9', '+|Amey|E7', '6|Amey|E4', '^|Amey|E1', 'X|Amey|E4', '9|Amey|E1', '3|Amey|E9', '-|Amey|E2', '1|Amey|E2']",4|Amey|E4,4,1,0.938,4|Amey|E9,"{'4|Amey|E9': 0.938, '6|Amey|E4': 0.731, '+|Amey|E7': 0.68, 'X|Amey|E4': 0.644, '/|Amey|E6': 0.604, '0|Amey|E2': 0.516, '8|Amey|E9': 0.282}"
Amey,5,2,1,17,"['0|Amey|E2', '/|Amey|E6', ')|Amey|E4', '(|Amey|E5', '7|Amey|E10', '5|Amey|E9', '8|Amey|E9', '2|Amey|E4', '4|Amey|E9', '+|Amey|E7', '6|Amey|E4', '^|Amey|E1', 'X|Amey|E4', '9|Amey|E1', '3|Amey|E9', '-|Amey|E2', '1|Amey|E2']",5|Amey|E7,5,1,0.96,5|Amey|E9,"{'5|Amey|E9': 0.96, '(|Amey|E5': 0.667, '-|Amey|E2': 0.592, '7|Amey|E10': 0.585, '+|Amey|E7': 0.536, '4|Amey|E9': 0.525, '2|Amey|E4': 0.258}"
Amey,6,2,1,17,"['0|Amey|E2', '/|Amey|E6', ')|Amey|E4', '(|Amey|E5', '7|Amey|E10', '5|Amey|E9', '8|Amey|E9', '2|Amey|E4', '4|Amey|E9', '+|Amey|E7', '6|Amey|E4', '^|Amey|E1', 'X|Amey|E4', '9|Amey|E1', '3|Amey|E9', '-|Amey|E2', '1|Amey|E2']",6|Amey|E7,6,1,0.831,6|Amey|E4,"{'6|Amey|E4': 0.831, '4|Amey|E9': 0.717, 'X|Amey|E4': 0.649, '+|Amey|E7': 0.644, '5|Amey|E9': 0.639, '7|Amey|E10': 0.492, '(|Amey|E5': 0.474, '2|Amey|E4': 0.311}"
Amey,7,2,1,17,"['0|Amey|E2', '/|Amey|E6', ')|Amey|E4', '(|Amey|E5', '7|Amey|E10', '5|Amey|E9', '8|Amey|E9', '2|Amey|E4', '4|Amey|E9', '+|Amey|E7', '6|Amey|E4', '^|Amey|E1', 'X|Amey|E4', '9|Amey|E1', '3|Amey|E9', '-|Amey|E2', '1|Amey|E2']",7|Amey|E6,7,1,0.885,7|Amey|E10,"{'7|Amey|E10': 0.885, '0|Amey|E2': 0.658, '+|Amey|E7': 0.626, '1|Amey|E2': 0.516, '3|Amey|E9': 0.491, '8|Amey|E9': 0.429, '-|Amey|E2': 0.413, '5|Amey|E9': 0.343, ')|Amey|E4': 0.166}"
Amey,8,2,1,17,"['0|Amey|E2', '/|Amey|E6', ')|Amey|E4', '(|Amey|E5', '7|Amey|E10', '5|Amey|E9', '8|Amey|E9', '2|Amey|E4', '4|Amey|E9', '+|Amey|E7', '6|Amey|E4', '^|Amey|E1', 'X|Amey|E4', '9|Amey|E1', '3|Amey|E9', '-|Amey|E2', '1|Amey|E2']",8|Amey|E10,8,1,0.914,8|Amey|E9,"{'8|Amey|E9': 0.914, '7|Amey|E10': 0.518, 'X|Amey|E4': 0.486, ')|Amey|E4': 0.335, '3|Amey|E9': 0.21, '5|Amey|E9': 0.206}"
Amey,9,2,1,17,"['0|Amey|E2', '/|Amey|E6', ')|Amey|E4', '(|Amey|E5', '7|Amey|E10', '5|Amey|E9', '8|Amey|E9', '2|Amey|E4', '4|Amey|E9', '+|Amey|E7', '6|Amey|E4', '^|Amey|E1', 'X|Amey|E4', '9|Amey|E1', '3|Amey|E9', '-|Amey|E2', '1|Amey|E2']",9|Amey|E8,5,0,0.662,5|Amey|E9,"{'5|Amey|E9': 0.662, '7|Amey|E10': 0.587, '6|Amey|E4': 0.572, '(|Amey|E5': 0.524, '4|Amey|E9': 0.49, '+|Amey|E7': 0.463, '-|Amey|E2': 0.353, '2|Amey|E4': 0.234}"
Amey,X,2,1,17,"['0|Amey|E2', '/|Amey|E6', ')|Amey|E4', '(|Amey|E5', '7|Amey|E10', '5|Amey|E9', '8|Amey|E9', '2|Amey|E4', '4|Amey|E9', '+|Amey|E7', '6|Amey|E4', '^|Amey|E1', 'X|Amey|E4', '9|Amey|E1', '3|Amey|E9', '-|Amey|E2', '1|Amey|E2']",X|Amey|E8,X,1,0.944,X|Amey|E4,"{'X|Amey|E4': 0.944, ')|Amey|E4': 0.447, '8|Amey|E9': 0.439}"
Amey,^,2,1,17,"['0|Amey|E2', '/|Amey|E6', ')|Amey|E4', '(|Amey|E5', '7|Amey|E10', '5|Amey|E9', '8|Amey|E9', '2|Amey|E4', '4|Amey|E9', '+|Amey|E7', '6|Amey|E4', '^|Amey|E1', 'X|Amey|E4', '9|Amey|E1', '3|Amey|E9', '-|Amey|E2', '1|Amey|E2']",^|Amey|E10,^,1,0.939,^|Amey|E1,"{'^|Amey|E1': 0.939, '/|Amey|E6': 0.64, 'X|Amey|E4': 0.503, '+|Amey|E7': 0.499, '7|Amey|E10': 0.452, '4|Amey|E9': 0.401, '1|Amey|E2': 0.382, '9|Amey|E1': 0.274, '6|Amey|E4': 0.097}"
Amey,/,2,1,17,"['0|Amey|E2', '/|Amey|E6', ')|Amey|E4', '(|Amey|E5', '7|Amey|E10', '5|Amey|E9', '8|Amey|E9', '2|Amey|E4', '4|Amey|E9', '+|Amey|E7', '6|Amey|E4', '^|Amey|E1', 'X|Amey|E4', '9|Amey|E1', '3|Amey|E9', '-|Amey|E2', '1|Amey|E2']",/|Amey|E5,/,1,0.993,/|Amey|E6,"{'/|Amey|E6': 0.993, '4|Amey|E9': 0.606, '+|Amey|E7': 0.459, 'X|Amey|E4': 0.446, '8|Amey|E9': 0.349, '0|Amey|E2': 0.146}"
Amey,(,1,2,34,"['6|Amey|E2', '/|Amey|E5', '0|Amey|E7', '4|Amey|E1', ')|Amey|E9', '9|Amey|E4', '(|Amey|E1', '2|Amey|E9', 'X|Amey|E2', '4|Amey|E8', '3|Amey|E3', '3|Amey|E6', '8|Amey|E9', '8|Amey|E1', '1|Amey|E7', '-|Amey|E1', '^|Amey|E4', '-|Amey|E3', '(|Amey|E8', '9|Amey|E3', '0|Amey|E8', '7|Amey|E8', '5|Amey|E7', '+|Amey|E5', '2|Amey|E10', '1|Amey|E10', ')|Amey|E2', '/|Amey|E4', '6|Amey|E3', '^|Amey|E7', '7|Amey|E2', 'X|Amey|E10', '5|Amey|E10', '+|Amey|E4']",(|Amey|E10,(,1,0.98,(|Amey|E8,"{'(|Amey|E8': 0.98, '(|Amey|E1': 0.958, '5|Amey|E10': 0.661, '5|Amey|E7': 0.647, '-|Amey|E1': 0.561, '-|Amey|E3': 0.549, '4|Amey|E8': 0.523, '6|Amey|E2': 0.486, '4|Amey|E1': 0.486, '6|Amey|E3': 0.47, '+|Amey|E4': 0.465, '+|Amey|E5': 0.464, '7|Amey|E2': 0.451, 'X|Amey|E2': 0.419, '0|Amey|E8': 0.39, '2|Amey|E10': 0.194, '2|Amey|E9': 0.179}"
Amey,),1,2,34,"['6|Amey|E2', '/|Amey|E5', '0|Amey|E7', '4|Amey|E1', ')|Amey|E9', '9|Amey|E4', '(|Amey|E1', '2|Amey|E9', 'X|Amey|E2', '4|Amey|E8', '3|Amey|E3', '3|Amey|E6', '8|Amey|E9', '8|Amey|E1', '1|Amey|E7', '-|Amey|E1', '^|Amey|E4', '-|Amey|E3', '(|Amey|E8', '9|Amey|E3', '0|Amey|E8', '7|Amey|E8', '5|Amey|E7', '+|Amey|E5', '2|Amey|E10', '1|Amey|E10', ')|Amey|E2', '/|Amey|E4', '6|Amey|E3', '^|Amey|E7', '7|Amey|E2', 'X|Amey|E10', '5|Amey|E10', '+|Amey|E4']",)|Amey|E3,),1,0.984,)|Amey|E2,"{')|Amey|E2': 0.984, ')|Amey|E9': 0.937, '7|Amey|E8': 0.853, '3|Amey|E6': 0.794, '0|Amey|E8': 0.522, '2|Amey|E10': 0.506, '7|Amey|E2': 0.463, '+|Amey|E5': 0.455, '+|Amey|E4': 0.432, '-|Amey|E3': 0.413, 'X|Amey|E2': 0.406, '-|Amey|E1': 0.403, '8|Amey|E9': 0.259, '3|Amey|E3': 0.249, '5|Amey|E7': 0.234, '5|Amey|E10': 0.207}"
Amey,+,1,2,34,"['6|Amey|E2', '/|Amey|E5', '0|Amey|E7', '4|Amey|E1', ')|Amey|E9', '9|Amey|E4', '(|Amey|E1', '2|Amey|E9', 'X|Amey|E2', '4|Amey|E8', '3|Amey|E3', '3|Amey|E6', '8|Amey|E9', '8|Amey|E1', '1|Amey|E7', '-|Amey|E1', '^|Amey|E4', '-|Amey|E3', '(|Amey|E8', '9|Amey|E3', '0|Amey|E8', '7|Amey|E8', '5|Amey|E7', '+|Amey|E5', '2|Amey|E10', '1|Amey|E10', ')|Amey|E2', '/|Amey|E4', '6|Amey|E3', '^|Amey|E7', '7|Amey|E2', 'X|Amey|E10', '5|Amey|E10', '+|Amey|E4']",+|Amey|E8,X,0,0.909,X|Amey|E10,"{'X|Amey|E10': 0.909, '+|Amey|E4': 0.893, '+|Amey|E5': 0.89, '8|Amey|E9': 0.7, '4|Amey|E1': 0.531, '4|Amey|E8': 0.522, '8|Amey|E1': 0.518, '/|Amey|E5': 0.504, '/|Amey|E4': 0.501, '0|Amey|E7': 0.35}"
Amey,-,1,2,34,"['6|Amey|E2', '/|Amey|E5', '0|Amey|E7', '4|Amey|E1', ')|Amey|E9', '9|Amey|E4', '(|Amey|E1', '2|Amey|E9', 'X|Amey|E2', '4|Amey|E8', '3|Amey|E3', '3|Amey|E6', '8|Amey|E9', '8|Amey|E1', '1|Amey|E7', '-|Amey|E1', '^|Amey|E4', '-|Amey|E3', '(|Amey|E8', '9|Amey|E3', '0|Amey|E8', '7|Amey|E8', '5|Amey|E7', '+|Amey|E5', '2|Amey|E10', '1|Amey|E10', ')|Amey|E2', '/|Amey|E4', '6|Amey|E3', '^|Amey|E7', '7|Amey|E2', 'X|Amey|E10', '5|Amey|E10', '+|Amey|E4']",-|Amey|E4,-,1,0.984,-|Amey|E1,"{'-|Amey|E1': 0.984, '-|Amey|E3': 0.983, '1|Amey|E10': 0.686, '1|Amey|E7': 0.668, '3|Amey|E6': 0.644, '7|Amey|E8': 0.642, '2|Amey|E10': 0.595, '5|Amey|E7': 0.581, '3|Amey|E3': 0.573, '5|Amey|E10': 0.569, ')|Amey|E9': 0.566, '2|Amey|E9': 0.555, ')|Amey|E2': 0.553, '7|Amey|E2': 0.503, '+|Amey|E4': 0.497, '+|Amey|E5': 0.454, '8|Amey|E1': 0.384, '0|Amey|E7': 0.223, '0|Amey|E8': 0.139}"
